Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor
0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0
1,4,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1
1,14,1,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,1,0
1,7,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1
0,3,1,0,0,1,0,0,0,0,0,0
1,6,1,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0
1,13,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1
1,8,0,0,0,1,0,0,0,0,0,0
1,5,1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0,0,0
1,4,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,7,0,1,0,0,0,0,0,1,0,0
1,4,1,0,0,0,0,0,0,0,1,1
1,1,0,0,1,0,0,0,0,0,0,1
1,21,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,2,1,0,1,1,0,0,0,0,1,0
0,2,0,1,0,1,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,1
0,7,0,1,0,1,0,0,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0,0,1
1,13,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0
0,15,1,0,0,1,0,0,0,0,0,0
1,2,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1
0,4,0,1,0,1,0,0,0,0,0,1
0,8,1,1,0,0,0,0,0,0,0,0
0,5,0,0,0,1,0,0,0,0,0,0
1,15,1,0,0,1,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,0,0,0,0
1,4,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1
1,6,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,1
1,6,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1
1,5,1,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1
1,8,1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,0,0
1,14,1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0
1,2,1,0,1,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,1
1,9,1,0,0,1,0,0,0,0,0,0
1,7,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,9,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,1,1
1,1,0,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0
1,8,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,0,1,1,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0
1,5,1,0,0,1,0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,10,1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0
1,28,1,0,0,1,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,1,0
1,13,1,0,0,0,0,0,0,0,0,0
1,3,1,0,0,1,0,0,0,0,0,0
0,3,1,1,0,0,0,0,0,0,0,1
1,19,1,0,0,1,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,1,1
1,10,0,0,0,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,1
1,3,1,0,0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1
1,9,1,0,0,1,0,0,0,0,0,0
1,11,1,0,0,1,0,0,0,0,0,0
1,8,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0
1,7,1,0,0,1,0,0,0,0,1,0
1,2,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0,0,0,1,0
1,13,1,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1,0,0,0,0
1,4,1,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0
1,2,0,0,0,1,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,1
1,3,1,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,0
1,6,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0
0,5,1,0,0,1,0,0,0,0,1,0
0,2,0,1,0,0,0,1,0,0,0,1
0,8,0,1,0,1,0,0,0,0,0,0
1,8,1,0,0,0,0,1,0,0,0,0
1,6,1,0,0,1,0,0,0,0,0,1
0,2,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,0,0,0
1,23,1,1,0,1,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0
0,3,0,1,0,1,0,0,0,0,0,0
1,8,0,1,0,0,0,0,0,0,0,1
1,2,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0
1,9,1,0,0,1,0,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0,1
0,1,0,0,1,1,0,0,0,0,1,1
1,2,0,0,0,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1
0,4,0,0,0,0,0,0,0,0,0,1
1,23,1,0,0,1,0,0,0,0,1,0
1,5,1,0,1,0,0,0,0,1,0,0
1,2,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0
1,7,1,0,0,0,0,0,0,0,1,0
0,2,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,1,0
1,7,0,1,0,0,0,0,0,0,0,0
0,15,1,0,0,1,0,0,0,0,0,0
0,2,1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,0,0,0,0,1,0
0,5,1,0,0,1,0,0,0,0,1,1
1,11,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1
1,4,0,0,0,0,0,0,0,1,0,0
0,11,1,1,0,1,0,0,0,0,0,0
0,2,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0
